user_id,session_time,channel,converted
0004915997121163857,2017-08-01 20:44:52.000000 UTC,Organic Search,false
0013182148727187801,2017-08-01 09:39:38.000000 UTC,Direct,false
0015547161740087073,2017-08-01 22:19:24.000000 UTC,Organic Search,false
0017557475227585700,2017-08-01 17:53:26.000000 UTC,Referral,false
0018642067897203467,2017-08-01 21:21:55.000000 UTC,Organic Search,false
0021355866507530567,2017-08-01 13:58:11.000000 UTC,Direct,false
0022300204436170027,2017-08-01 15:17:23.000000 UTC,Organic Search,false
0030469228153670725,2017-08-01 22:52:22.000000 UTC,Direct,false
003458418161244916,2017-08-01 21:24:11.000000 UTC,Referral,false
0038149375855549848,2017-08-01 19:46:29.000000 UTC,Organic Search,false
0044290021815284439,2017-08-01 16:44:54.000000 UTC,Social,false
0045120268929000634,2017-08-01 08:13:07.000000 UTC,Social,false
0049931492016965831,2017-08-01 15:18:06.000000 UTC,Organic Search,false
0051612054869733841,2017-08-01 18:25:57.000000 UTC,Organic Search,false
0052381813974609729,2017-08-01 16:10:32.000000 UTC,Referral,false
0056691645552246589,2017-08-01 23:59:48.000000 UTC,Organic Search,false
0056869592930233148,2017-08-01 21:53:18.000000 UTC,Organic Search,false
0056923081268590470,2017-08-01 17:38:51.000000 UTC,Direct,false
0061532013305360130,2017-08-01 15:44:31.000000 UTC,Organic Search,false
0067295271657902645,2017-08-01 15:29:05.000000 UTC,Referral,false
0067546692352203203,2017-08-01 18:47:45.000000 UTC,Organic Search,false
008016723867009901,2017-08-01 19:50:05.000000 UTC,Organic Search,false
0082784177006211656,2017-08-01 17:37:47.000000 UTC,Referral,false
008500967240804363,2017-08-01 12:09:03.000000 UTC,Social,false
0088362491559699226,2017-08-01 22:33:15.000000 UTC,Organic Search,false
0088690041841140778,2017-08-01 11:27:19.000000 UTC,Organic Search,false
008974926326637231,2017-08-01 21:49:08.000000 UTC,Organic Search,false
0091134967797621305,2017-08-01 07:32:00.000000 UTC,Social,false
0091134967797621305,2017-08-01 19:09:55.000000 UTC,Social,false
0091712978079395246,2017-08-01 16:10:35.000000 UTC,Referral,false
0093017645533404208,2017-08-01 17:13:13.000000 UTC,Organic Search,false
009866221600299757,2017-08-01 16:45:08.000000 UTC,Referral,false
010685281241631610,2017-08-01 17:49:14.000000 UTC,Organic Search,false
0111410603536160124,2017-08-02 00:28:37.000000 UTC,Organic Search,false
0126612099954375841,2017-08-01 16:58:07.000000 UTC,Direct,true
